id1,id2
1058,728
125,1169
1574,1577
158,2678
1661,2187
1733,1942
1856,4126
2,2479
2039,5319
2045,1443
2249,728
2288,2419
2288,1924
233,1922
2444,2480
2561,2641
2561,2613
26,4419
260,2456
2636,4319
2657,1577
2822,4289
2822,4402
287,257
2873,1125
2909,5055
2999,3710
3134,583
3134,478
3254,5365
3491,3100
3491,3135
371,2597
371,2510
3740,1798
3758,4189
3794,2481
398,3105
398,3140
4049,4727
410,2057
4121,5064
4139,3579
4211,711
446,2692
4493,3704
4511,5178
4697,3090
4811,1536
4811,1573
4826,3386
557,2946
716,3393
98,4338
1047,1732
1059,257
1500,5395
1806,699
1821,3576
1821,3617
198,1665
198,1759
2049,2505
2049,2443
2217,2970
2232,4640
2376,5386
2658,2176
2871,2641
2871,2613
3249,1223
3258,1255
3444,3070
3675,3748
369,2882
3768,4569
4092,2262
4092,2228
468,2692
528,1911
528,5338
528,5307
828,4651
828,4708
858,1728
942,2415
1060,2338
1069,4059
1489,2749
1489,2697
1657,1728
1807,3969
1876,4828
2086,220
220,3391
2329,81
2440,5026
2497,4279
2899,2758
3022,2947
3100,5033
3133,3468
3238,5025
3400,2596
3400,2509
3517,3400
3538,4440
3724,3572
3913,3100
3913,3135
4261,639
4273,2701
4273,2753
541,4184
793,5395
796,1464
371,2597
398,3140
1500,625
1618,4327
1589,3329
1410,1051
1013,2378
1251,1593
1756,2943
1155,5192
1735,2886
1251,1549
1261,971
3438,2943
1751,1407
1308,5048
341,1434
632,3797
240,4313
2696,4838
632,3817
2042,4066
231,2177
51,2349
4304,3260
1228,985
718,1445
425,3238
68,4392
65,3794
3441,5062
41,3363
179,4371
425,3207
3031,3421
718,1483
3286,4450
570,3742
1596,2397
4493,5336
11,97
2654,4536
1228,1019
1828,4459
3254,5365
8,2439
2209,5076
8,2501
1488,1266
7,1376
1661,2187
3053,1237
2244,1770
42,1649
4095,2444
2044,4991
2050,2024
901,130
520,4515
3573,315
1756,2894
3644,1074
301,4898
3644,1090
1080,774
1267,1448
1335,2723
1244,1606
2463,3390
4264,1570
2430,1773
223,2027
731,1247
99,2270
483,3800
94,2103
231,2270
1274,4185
2038,730
928,4989
2435,3396
4867,2464
1212,1802
836,2355
1838,2181
415,2177
690,4354
3753,3527
4696,2771
1932,5048
415,2270
204,959
2097,4801
1194,4709
1591,2644
444,4312
2526,5081
226,104
1194,4652
612,4040
1461,807
345,5005
214,3147
158,2678
4171,5238
4031,5215
2838,2947
1047,1732
2830,3150
2056,3390
1873,1152
703,2594
710,935
3032,4269
3035,1415
1066,3483
3274,4843
4279,4457
3032,4286
703,2507
393,2623
697,4566
13,1936
13,2022
2215,3076
1904,1578
3298,3588
211,2625
393,2603
1913,4445
1673,3605
555,3199
555,3230
1505,1669
614,1651
4264,1492
1462,3556
1505,1763
12,4869
4267,2700
1188,5121
3658,4311
4267,2752
2310,2769
800,4288
3734,5206
1851,961
1338,4407
3624,1793
2078,1187
3654,4863
93,3781
4468,288
4468,607
3431,1481
3431,1441
3039,2438
3039,2500
49,5005
3994,2503
2285,1377
3812,5061
870,3305
3994,2441
4833,5340
21,1473
2242,3643
3826,2055
2678,1919
2924,4859
2973,2352
419,3152
1653,3929
312,4626
3443,4535
2826,2406
856,1222
2738,4824
704,1667
853,5177
2948,4091
4830,4327
2451,1258
3229,977
2222,1887
1256,1343
1858,5024
738,2368
80,3985
3046,2749
308,4359
1102,2477
4282,1130
3997,4186
1062,1065
2289,2470
527,4488
4110,3994
704,1761
2813,2988
834,3458
2259,2483
2259,2590
743,3751
3403,2019
257,1940
2372,4015
2279,3299
1242,2189
4457,5210
243,2688
869,1988
3403,1933
1726,4810
1255,1987
2924,4809
536,1208
2262,3071
2853,1640
795,2279
4719,5239
1726,4860
3004,2725
3046,2697
3190,2661
3830,638
1402,4348
4634,3308
3822,124
3976,1231
2074,2430
617,4139
4110,3930
2959,5281
2433,4063
1423,1801
1687,1898
2254,1221
3822,356
2433,4153
312,4681
2515,4840
1304,3069
1653,3993
2029,4999
738,2304
1425,2852
3161,3971
1517,5317
4525,5014
429,4795
2738,4803
2012,2995
20,2472
199,1442
207,5056
665,3863
3193,4837
665,3884
854,1671
854,1765
75,2520
75,2534
1487,2155
1487,2123
1226,3084
225,3747
545,3394
2460,2433
2460,2495
1467,5046
3563,5315
3571,3149
1422,4648
1096,2366
2069,4442
960,3175
1227,4081
3414,1989
4291,3210
1664,2761
1091,4343
1484,2760
2046,4634
1227,4192
2935,4448
4291,3293
5,3419
445,2405
906,5032
1234,4347
4506,385
1096,2302
24,1897
106,4937
1068,1265
106,4907
3204,3271
3387,4988
3980,1769
2060,2021
3240,3772
525,1789
1278,4447
38,5000
3204,3253
3832,5084
2258,2485
2258,2592
3980,1675
2060,1935
3710,5059
2294,3599
413,5015
862,4800
0,2049
1830,3250
65,3970
3244,2409
1084,1374
200,1539
2376,4364
1644,2768
767,3899
2835,2766
3458,3602
767,3869
513,3082
1914,4159
715,4157
434,2408
3531,3855
2834,2083
3767,3280
2533,4253
396,4259
2834,2030
2138,4759
2089,5318
1473,4344
715,4067
911,5312
3222,4571
2203,5009
2062,2978
2075,2694
3245,2308
3245,2372
808,1949
2643,2953
3825,3304
1303,2462
369,5354
546,4130
2944,1406
217,1101
875,1106
1073,2014
1762,3531
3806,120
1073,1928
3806,352
923,4058
2674,4317
693,4994
352,3651
822,2395
607,2446
3185,4131
2237,1576
540,1092
4687,3607
1469,3582
2993,1612
3703,3645
